label,nbPixels,meanB0,meanB1,meanB2,varB0,varB1,varB2
1592,2462,162.225433349609375,138.253051757812500,175.181152343750000,187.710693359375000,216.211303710937500,94.426658630371094
222,2433,145.708999633789062,119.168518066406250,161.342788696289062,541.968750000000000,450.550994873046875,203.315795898437500
21,1402,170.050643920898438,142.117691040039062,171.420120239257812,540.299804687500000,265.493225097656250,166.695220947265625
2468,1083,188.474609375000000,169.202209472656250,194.368423461914062,224.702407836914062,325.818847656250000,145.338256835937500
7,2943,142.315658569335938,125.878013610839844,170.497116088867188,3326.734130859375000,1424.111450195312500,570.398376464843750
3233,1430,155.573425292968750,129.640563964843750,167.293014526367188,329.351989746093750,336.604614257812500,106.191741943359375
170,10028,138.428298950195312,109.155265808105469,151.516250610351562,537.468811035156250,317.861785888671875,131.070114135742188
1,208409,0.222346439957619,0.141682937741280,0.318349987268448,13.404301643371582,7.271718978881836,19.678262710571289
9397,1951,153.232192993164062,123.516143798828125,150.060485839843750,602.268737792968750,535.930236816406250,228.992813110351562
2658,39957,128.895706176757812,98.557647705078125,135.772033691406250,898.465087890625000,414.641693115234375,193.622589111328125
9466,1552,161.117263793945312,118.535438537597656,140.514816284179688,421.696960449218750,157.932952880859375,52.108318328857422
10176,1091,240.428054809570312,236.871673583984375,241.776351928710938,113.020179748535156,175.181655883789062,86.590827941894531
10447,1059,204.832855224609375,192.276672363281250,209.184143066406250,571.916809082031250,742.083190917968750,496.396972656250000
12813,2301,144.032165527343750,115.046936035156250,149.381576538085938,567.692199707031250,489.814788818359375,231.911300659179688
10180,1292,218.215942382812500,209.173370361328125,222.610687255859375,279.944244384765625,381.056549072265625,203.336944580078125
10289,1800,183.666671752929688,163.041107177734375,184.839447021484375,275.112854003906250,405.314056396484375,294.739288330078125
9861,1481,194.298446655273438,179.991897583007812,203.611755371093750,422.232421875000000,535.370300292968750,277.521606445312500
11287,2989,202.457015991210938,187.477752685546875,205.858139038085938,696.240966796875000,1079.427001953125000,567.967895507812500
12508,1697,182.843246459960938,164.389511108398438,192.803771972656250,261.108489990234375,360.179260253906250,139.450469970703125
13102,1559,164.503524780273438,133.173828125000000,156.227706909179688,285.011566162109375,347.114257812500000,192.698333740234375
14361,1169,156.644989013671875,125.970062255859375,155.235244750976562,225.440063476562500,248.922943115234375,184.664382934570312
13288,2523,157.774078369140625,133.086807250976562,171.663101196289062,173.635208129882812,198.409194946289062,89.088027954101562
11776,2605,146.795013427734375,116.371208190917969,145.721298217773438,300.224273681640625,264.267272949218750,266.271881103515625
14159,2185,123.812812805175781,99.720825195312500,138.050796508789062,539.559509277343750,250.350738525390625,130.150177001953125
17925,1601,110.691444396972656,87.158653259277344,128.501556396484375,227.803756713867188,123.250000000000000,45.255001068115234
16066,1819,107.102806091308594,90.706985473632812,130.331497192382812,415.860290527343750,192.053909301757812,64.096809387207031
16221,2246,135.054321289062500,103.652717590332031,134.517807006835938,273.692657470703125,176.620941162109375,76.865921020507812
17484,9925,21.690074920654297,54.205139160156250,116.183677673339844,65.851165771484375,211.385131835937500,123.467147827148438
17729,2182,121.197067260742188,94.702568054199219,135.470214843750000,305.781738281250000,140.926177978515625,81.386520385742188
23581,1498,149.321090698242188,117.746330261230469,144.210952758789062,423.503021240234375,318.728118896484375,153.917175292968750
25750,4563,137.536056518554688,107.919792175292969,138.242385864257812,566.502441406250000,419.429199218750000,146.134155273437500
22669,1809,108.164733886718750,86.193473815917969,127.499168395996094,225.257736206054688,79.166481018066406,16.844026565551758
25305,1137,144.691299438476562,112.275283813476562,136.417770385742188,477.464782714843750,376.650543212890625,110.772888183593750
21475,2779,115.208351135253906,90.508453369140625,128.221298217773438,220.338378906250000,91.984878540039062,23.362131118774414
23989,3762,127.920257568359375,97.937530517578125,131.484588623046875,314.405731201171875,147.084289550781250,51.836212158203125
25173,3004,170.626495361328125,144.559249877929688,166.188079833984375,969.547790527343750,1094.441528320312500,507.322021484375000
27005,1545,25.561811447143555,51.704853057861328,104.609062194824219,100.979515075683594,75.481544494628906,45.365283966064453
27952,1336,165.043411254882812,132.767959594726562,153.290420532226562,549.791748046875000,764.928833007812500,377.920593261718750
27647,1703,118.166175842285156,93.564300537109375,132.869049072265625,262.222076416015625,149.648651123046875,54.358402252197266
26993,1109,100.650138854980469,84.962127685546875,128.104598999023438,287.153442382812500,119.747741699218750,39.119132995605469
27177,1925,117.658180236816406,91.339218139648438,130.533508300781250,317.836791992187500,161.406967163085938,109.465698242187500
27728,8266,126.394386291503906,100.536415100097656,136.799423217773438,690.192382812500000,429.683715820312500,178.592132568359375
28749,3041,139.949356079101562,115.101608276367188,147.185791015625000,725.515808105468750,696.706604003906250,299.948669433593750
36693,1034,116.871376037597656,131.473892211914062,169.594772338867188,2434.365966796875000,1108.938964843750000,456.977722167968750
29644,19179,33.274936676025391,73.026901245117188,128.615417480468750,379.608398437500000,688.080078125000000,390.624267578125000
34333,2369,106.739555358886719,85.487121582031250,127.734909057617188,792.101379394531250,405.627532958984375,190.204391479492188
35030,2768,170.849349975585938,143.005050659179688,167.972183227539062,799.950866699218750,1049.374755859375000,599.751342773437500
33833,2534,202.455413818359375,70.726516723632812,5.022888660430908,1820.702758789062500,7016.533691406250000,275.115936279296875
38374,1267,179.266769409179688,140.781372070312500,152.753753662109375,372.600311279296875,473.314361572265625,182.516586303710938
41078,3459,155.493209838867188,118.269149780273438,147.437408447265625,214.422210693359375,254.639678955078125,75.620590209960938
40873,1513,141.480499267578125,111.768669128417969,141.218765258789062,627.386230468750000,460.042327880859375,122.477516174316406
45342,1358,175.417526245117188,146.078048706054688,163.958755493164062,216.218124389648438,308.586578369140625,173.179077148437500
42585,1170,204.958969116210938,186.818801879882812,195.089736938476562,298.778442382812500,439.911041259765625,267.072723388671875
40995,2450,166.662445068359375,126.294288635253906,145.796325683593750,236.151901245117188,180.997955322265625,63.477336883544922
46770,1777,186.799102783203125,169.902648925781250,183.286437988281250,411.691436767578125,326.243255615234375,178.425674438476562
45535,1135,102.651985168457031,139.255508422851562,167.346252441406250,2331.739746093750000,563.938293457031250,189.229278564453125
42577,33461,56.675502777099609,126.368667602539062,148.116546630859375,429.196411132812500,249.270050048828125,109.291572570800781
47572,1559,211.808212280273438,200.835144042968750,210.704299926757812,316.775360107421875,329.768920898437500,200.308090209960938
47857,2282,216.182296752929688,205.273437500000000,215.147232055664062,107.110916137695312,163.019729614257812,88.371765136718750
44276,1648,146.120758056640625,115.970268249511719,149.406555175781250,507.489990234375000,164.637527465820312,48.425014495849609
42124,19062,26.862291336059570,66.000053405761719,127.361396789550781,326.164520263671875,491.981323242187500,285.636230468750000
46605,1203,193.441390991210938,179.959274291992188,194.187866210937500,364.775360107421875,321.281188964843750,144.645584106445312
40407,1452,37.995868682861328,73.517219543457031,147.634979248046875,3076.267333984375000,2996.733398437500000,1772.144775390625000
42368,1870,185.985565185546875,155.968444824218750,166.401611328125000,602.159423828125000,635.777404785156250,245.258422851562500
49616,1029,234.948486328125000,228.778427124023438,232.874633789062500,139.696502685546875,241.809341430664062,163.972763061523438
50027,1349,149.815414428710938,123.807266235351562,158.312088012695312,697.703247070312500,764.847167968750000,308.777435302734375
52739,1670,99.330535888671875,80.280838012695312,125.743713378906250,160.564407348632812,59.226482391357422,19.550628662109375
54921,1340,90.925376892089844,74.015670776367188,119.818656921386719,86.548919677734375,61.767364501953125,26.458551406860352
54054,1453,114.283554077148438,94.683410644531250,132.054367065429688,203.107437133789062,137.484848022460938,51.234161376953125
56287,1085,83.554840087890625,81.504150390625000,123.711517333984375,242.084869384765625,189.833480834960938,90.532287597656250
52725,3076,136.738296508789062,110.840377807617188,139.184005737304688,473.243591308593750,302.457244873046875,87.751541137695312
50053,4626,37.999568939208984,91.766105651855469,131.138351440429688,179.542480468750000,207.348754882812500,92.410812377929688
55804,1467,158.867080688476562,135.834350585937500,153.758010864257812,473.618011474609375,364.160980224609375,164.278305053710938
56840,2026,99.353408813476562,98.861793518066406,133.847976684570312,206.500747680664062,166.396041870117188,61.761974334716797
54076,1652,155.234268188476562,123.148307800292969,147.907989501953125,272.879455566406250,223.160507202148438,94.941246032714844
59671,1690,102.431358337402344,90.968635559082031,130.567459106445312,308.699829101562500,225.719360351562500,87.765541076660156
53468,1076,179.941452026367188,153.785308837890625,168.118026733398438,319.438140869140625,412.731170654296875,235.188842773437500
59088,1595,169.208145141601562,142.869598388671875,159.429473876953125,367.154327392578125,287.761596679687500,119.227104187011719
59105,1373,151.078659057617188,121.848503112792969,150.218505859375000,408.727416992187500,348.306121826171875,98.416908264160156
57669,4608,59.710720062255859,99.502166748046875,140.220489501953125,237.653793334960938,219.517257690429688,190.959838867187500
59559,1751,86.464874267578125,95.739578247070312,134.790405273437500,212.613708496093750,117.779998779296875,72.940574645996094
56217,2812,200.238616943359375,178.099212646484375,183.268844604492188,244.183563232421875,399.664184570312500,295.721099853515625
61066,1705,83.869209289550781,99.692665100097656,134.750732421875000,564.541076660156250,131.102111816406250,72.272300720214844
62788,1323,132.993194580078125,110.471656799316406,148.331069946289062,136.901657104492188,101.799545288085938,40.703479766845703
61201,4921,150.785812377929688,126.337532043457031,155.993698120117188,494.343078613281250,413.242279052734375,154.552841186523438
64619,2614,182.722640991210938,161.845062255859375,179.682479858398438,576.174499511718750,802.332946777343750,446.870269775390625
66654,4503,173.313339233398438,154.588058471679688,169.468582153320312,415.129272460937500,238.251449584960938,98.766769409179688
67914,1077,159.222839355468750,131.129989624023438,154.740951538085938,325.912628173828125,267.710021972656250,87.189590454101562
67061,2133,149.993438720703125,119.465538024902344,148.791839599609375,416.461547851562500,395.027191162109375,124.831146240234375
65920,9914,169.538726806640625,146.697402954101562,166.508468627929688,234.165237426757812,246.691818237304688,157.540206909179688
69368,1349,131.637512207031250,102.507781982421875,140.558929443359375,343.461425781250000,204.020034790039062,127.661720275878906
72013,1609,103.788070678710938,86.058418273925781,128.098815917968750,525.758728027343750,345.202117919921875,153.435317993164062
72861,1423,138.802536010742188,113.338722229003906,140.465911865234375,1556.557006835937500,1194.080200195312500,384.623077392578125
74092,1181,145.613891601562500,114.185432434082031,147.132095336914062,1226.759277343750000,1491.132202148437500,662.554260253906250
73069,1670,113.145507812500000,87.293411254882812,129.356292724609375,226.083877563476562,125.422409057617188,56.879570007324219
76603,1243,208.002410888671875,195.358001708984375,212.286407470703125,894.421875000000000,1206.380004882812500,580.431579589843750
76855,1286,105.629081726074219,80.459564208984375,120.971229553222656,405.386779785156250,235.543579101562500,112.196105957031250
77852,1933,106.957580566406250,67.727363586425781,110.381271362304688,269.103515625000000,53.844718933105469,35.848861694335938
77359,2701,72.271377563476562,80.658645629882812,122.142539978027344,209.044815063476562,176.071105957031250,92.402961730957031
81323,1563,126.765838623046875,95.586051940917969,135.984649658203125,222.760559082031250,121.838027954101562,74.033287048339844
80565,3035,200.668197631835938,188.240203857421875,208.563095092773438,797.750854492187500,1003.636108398437500,430.734344482421875
82825,2246,173.403823852539062,150.572570800781250,174.146484375000000,366.275268554687500,397.170593261718750,225.649887084960938
84613,1702,133.096939086914062,103.984138488769531,138.820800781250000,652.529113769531250,636.917114257812500,233.179306030273438
81844,5729,160.062133789062500,132.212432861328125,155.311569213867188,229.189941406250000,211.213684082031250,70.977653503417969
87706,1424,161.991577148437500,135.375000000000000,160.421340942382812,134.929016113281250,174.763183593750000,72.725227355957031
86781,1302,114.370964050292969,87.328727722167969,128.742706298828125,251.425064086914062,153.681777954101562,79.005378723144531
86923,2392,162.869979858398438,129.828598022460938,155.165557861328125,223.484741210937500,314.179840087890625,136.217483520507812
86959,1259,137.847503662109375,109.646545410156250,150.490066528320312,479.422882080078125,388.236083984375000,210.219390869140625
88235,4751,186.502212524414062,155.752471923828125,146.812042236328125,607.127563476562500,806.996215820312500,3091.085449218750000
91132,1296,242.721450805664062,238.746139526367188,240.590270996093750,59.793048858642578,107.978378295898438,83.990730285644531
90389,1635,155.036087036132812,155.784103393554688,188.165130615234375,6567.953613281250000,4197.799316406250000,1468.435791015625000
90340,2725,189.052841186523438,173.256149291992188,193.510452270507812,191.113067626953125,206.925109863281250,98.346549987792969
92734,1592,209.817214965820312,196.457916259765625,208.342330932617188,138.715270996093750,190.265243530273438,118.375862121582031
91564,2940,226.792861938476562,217.226867675781250,221.469055175781250,100.529434204101562,158.922088623046875,122.599525451660156
92319,3795,217.437683105468750,204.708557128906250,210.648223876953125,285.701629638671875,466.247772216796875,391.540313720703125
91629,1860,197.929031372070312,182.995697021484375,194.888702392578125,507.632049560546875,557.385681152343750,346.560516357421875
99734,4375,181.184005737304688,160.812805175781250,180.325714111328125,217.379058837890625,294.233184814453125,154.183807373046875
100266,1676,210.893798828125000,199.958831787109375,211.796539306640625,181.779098510742188,268.950439453125000,146.822692871093750
101664,3101,192.164138793945312,176.797164916992188,194.536926269531250,118.010322570800781,155.269683837890625,85.058067321777344
102221,1864,184.630905151367188,171.016632080078125,193.097640991210938,276.343536376953125,306.593658447265625,178.001068115234375
100084,1864,197.505371093750000,182.027359008789062,195.238739013671875,110.943641662597656,157.333328247070312,89.996780395507812
101726,1877,180.116668701171875,165.037292480468750,187.820465087890625,228.017059326171875,247.912582397460938,137.413650512695312
103521,1848,199.694808959960938,180.188858032226562,191.819259643554688,138.741744995117188,261.697875976562500,149.526794433593750
107461,2386,212.416183471679688,200.751052856445312,211.217102050781250,77.447380065917969,117.658699035644531,63.949684143066406
105686,8494,220.368377685546875,209.804687500000000,216.344589233398438,192.504882812500000,307.935485839843750,224.538803100585938
